kab_kota,tahun,Intercept,X1_Produksi_Perikanan_Tangkap_Laut,X5_Persentase_Penduduk_Miskin,X8_PDRB_per_Kapita_ADHB,X12_Kepadatan_Penduduk,X13a_Jumlah_Pelabuhan_Utama,X13b_Kunjungan_Kapal_Tahunan,X13c_Jarak_ke_Pelabuhan_Induk,X17_TPT,X27_Volume_Wacana_Digital,X9_Pangsa_Pengeluaran_Pangan,local_R2,local_condition_number
Buru,2020,32.987941327273006,1.7042603542941201,-1.1256595640582565,-4.332020570143193,1.5710413586249055,0.12164294791779992,-4.541315741089507,0.9461349589004318,1.1813011619456082,-3.0367772055979954,2.2695702429455498,0.6278435084891274,7.412629882615731
Buru,2021,33.09350256945866,1.9710651663475283,-1.044828831773773,-4.263412524174228,1.469514849608683,-0.26749574581130187,-4.110003395520692,1.405448405244944,1.3067097168223065,-3.1695904852519194,1.9387201021318359,0.6325809985743001,7.800895416253651
Buru,2022,33.33514064081387,2.6119837007962743,-0.7787403843544882,-4.0968023101026345,0.7777023284655483,-1.2930943871496738,-2.7600048704095155,2.4446958590840713,1.1096327340673928,-2.727930816391746,0.9515772033072019,0.632275294245935,9.188946459614783
Buru,2023,32.838938942871856,2.841764821542464,-0.6082254170588073,-3.194711281263728,-0.15994820321128433,-1.8692563158063562,-1.508123509812838,2.6843604810904935,-0.3102501036392068,-0.919801868628424,0.09626394196346055,0.6285776245596459,10.611574469508458
Buru,2024,31.909709223717915,1.9861887944475463,-0.6562053417011127,-2.5713365420066454,-0.15410351606729855,-1.2033440851052895,-1.525204957288505,1.5821438977339142,-0.9601396593219926,-0.3382008329900539,0.18050521784945106,0.6233898601828376,9.46166027900504
Buru,2025,31.487129491928147,1.3571500300408417,-0.6102481278789202,-2.362435634041506,-0.16469799594588586,-0.7998572966147337,-1.56566299007606,0.9432971286535863,-0.880023248794001,-0.3625668859226424,0.3386235619644129,0.620389701387877,8.746895751690507
Buru Selatan,2020,32.99573440880974,1.7382870210483041,-1.177458670584718,-4.389364769019424,1.612263645561791,0.11282475183237081,-4.62401993530127,0.9503596293106803,1.2154462246188045,-3.09223502340624,2.281341171334211,0.6302628287511263,7.518534736696659
Buru Selatan,2021,33.08888775666694,1.9835266302889363,-1.120434503818886,-4.312572266765105,1.4806378076657394,-0.26115479071707703,-4.173417222482426,1.3763478785649104,1.3591840909098611,-3.2331038019600786,1.9442232881389412,0.6333575576618902,7.913336627775465
Buru Selatan,2022,33.32030285797078,2.5593685993882147,-0.9075426742725798,-4.150657910117971,0.7987940948746249,-1.2184815981987167,-2.851184823304204,2.330062432213554,1.233908356893807,-2.8754572068874817,0.9977803061933748,0.6321034323395183,9.342064235379024
Buru Selatan,2023,32.842116855452716,2.8033241947781082,-0.7374387665051267,-3.2537090059962184,-0.10740751478294513,-1.7935541569848128,-1.6146491637222795,2.5831694338320452,-0.19783155509653372,-1.0923724612228172,0.11993340666258723,0.6259770067958397,10.731641418382857
