model,AICc,AIC,R2_atau_pseudoR2,RMSE,bandwidth_optimal,pct_CN_gt_30,pct_VIF_gt_10,gate_lolos,rujukan_utama_laporan,N,catatan_AICc
OLS,153.01892377524098,114.01892377524098,0.8107171374598473,2.0634290282092644,,,,,False,21,Bisa dibandingkan sesama (N=21)
SAR (ML_Lag),164.09412711140266,112.09412711140266,0.8518071067255966,1.8265263394535132,,,,,False,21,Bisa dibandingkan sesama (N=21)
SEM (ML_Error),147.6517917338149,108.6517917338149,0.8005012737888658,2.1720635974856317,,,,,True,21,Bisa dibandingkan sesama (N=21)
GWR,-1018.4777513960304,,0.9816367648567109,0.6427002753888243,16.0,100.0,100.0,False,False,21,Bisa dibandingkan sesama (N=21)
GWR Parsimoni (3 fitur),122.90479766311213,,0.7061248480601376,2.571078410715562,21.0,0.0,0.0,True,True,21,Bisa dibandingkan sesama (N=21)
