kab_kota,Intercept,X8_PDRB_per_Kapita_ADHB,X9_Pangsa_Pengeluaran_Pangan,X27_Volume_Wacana_Digital,Intercept_tval_signif,X8_PDRB_per_Kapita_ADHB_tval_signif,X9_Pangsa_Pengeluaran_Pangan_tval_signif,X27_Volume_Wacana_Digital_tval_signif,X8_PDRB_per_Kapita_ADHB_localVIF,X9_Pangsa_Pengeluaran_Pangan_localVIF,X27_Volume_Wacana_Digital_localVIF,local_R2,local_condition_number
Buru,30.66319860904187,-2.9322760042089393,1.1754584810622746,-1.3353161219829879,40.672414286806834,-4.030675404903459,0.0,0.0,1.124989138698567,2.0321830890444983,2.021900435553984,0.6945988374989723,2.6914394057924165
Buru Selatan,30.727976424493768,-2.9858953991369312,1.0721886818326487,-1.4213985356642085,40.50148776182398,-4.092206346275028,0.0,0.0,1.1183003636290525,2.020505760569061,2.009019613932415,0.6923575434206191,2.6719591143431534
Halmahera Barat,29.97287092318375,-2.353022241694363,2.367576722557251,-0.39176550364094576,38.20362537597635,-3.2270207958408594,2.2029694151256276,0.0,1.1817378960641243,2.0225039580558035,2.014352753050653,0.6986194519208953,2.5371540381384112
Halmahera Selatan,30.1686321082345,-2.5158907984401457,2.015882451627948,-0.6469536471270918,39.80087192756417,-3.4748998674991785,0.0,0.0,1.1702763421586213,2.0545512489518187,2.0498650817237287,0.7010932751501254,2.5602468121806043
Halmahera Tengah,29.991756590489903,-2.372990531566161,2.2902561852864847,-0.4091360542782507,38.43456791496119,-3.2578273920500678,2.1253512132934986,0.0,1.1858737095293939,2.0428842811697963,2.0392367918482037,0.6993566371021046,2.5099719167844334
Halmahera Timur,29.93801166153692,-2.3305674496640973,2.3790300902414327,-0.34475965456350877,37.941818290989936,-3.1917466038871063,2.1810263741747264,0.0,1.1887679574073617,2.0306409637994505,2.025848353159485,0.6983001690745847,2.5154312432514345
Halmahera Utara,29.94370919132269,-2.330598222117389,2.404499616810042,-0.35307073286266477,37.9253074852114,-3.191689062929414,2.215219024325869,0.0,1.1850650561787126,2.022728230049475,2.0152007680737487,0.6981551846734918,2.5383993617491987
Kepulauan Aru,31.469697044793012,-3.244661352183267,0.5576404469084472,-1.3533429781072814,30.031929951698448,-3.9707728956355535,0.0,0.0,1.0939121885208498,2.474418854157467,2.441715020393123,0.6630814169723946,3.420738697740814
Kepulauan Sula,30.37900247877099,-2.70814388225059,1.665663950620267,-1.0020785271696027,40.810739673266,-3.7522375054272374,0.0,0.0,1.1405938796992048,1.9789140987166733,1.9663425276008994,0.698645631005405,2.5506930085146164
Kepulauan Tanimbar (Maluku Tenggara Barat),31.585014568721558,-3.4972191522685505,0.08752436709281276,-1.8104692564872171,35.21215272002379,-4.432511502824241,0.0,0.0,1.0534920706950088,2.079145365911819,2.0552742099809054,0.6484311153699359,3.0840042854909266
Kota Ambon,30.9551720779142,-3.1505300937660228,0.6186445915950932,-1.6444246603562804,38.72292011369247,-4.238460842942803,0.0,0.0,1.120152321744492,2.2837967914795136,2.279901626972023,0.6932556160251909,3.2537670114925836
Kota Ternate,30.03631789171301,-2.405260884027649,2.2723086959478387,-0.4820180277434068,38.81624131079307,-3.308724794229148,2.163636762902331,0.0,1.1748900148937957,2.019955180318593,2.0109210447951753,0.6994693685603285,2.5337940959830516
Kota Tidore Kepulauan,30.03280292117168,-2.4026268570504765,2.259337990014331,-0.4675729031258323,38.79017123393326,-3.304202898229702,2.135640622914157,0.0,1.1784381660637167,2.032462968211378,2.025774922887968,0.6996294638213338,2.5234879227605846
Kota Tual,31.46926699751192,-3.315213084701022,0.37211960876905087,-1.5246220961793728,32.34008386334849,-4.145658935860979,0.0,0.0,1.0876145902203644,2.511489098195382,2.4809783770759792,0.672928242098752,3.409958934782482
Maluku Barat Daya,31.589596135789325,-3.6015016990888746,-0.049619448258404496,-2.12798822061561,39.03461209906838,-4.628317597178743,0.0,0.0,1.0420707275381054,1.8941506233199363,1.8739499482992896,0.6426328825612043,2.7237535945677718
Maluku Tengah,30.843259022991237,-3.090297413484538,0.5406845459120534,-1.560144490266086,35.85732292021678,-4.11788086612655,0.0,0.0,1.1670114181874969,2.6777249324975125,2.6904854814815398,0.7081347252641096,3.891685525266932
Maluku Tenggara,31.47809234920148,-3.305767010161717,0.41242222727027616,-1.4819125467413488,31.455860303098202,-4.095045468190718,0.0,0.0,1.086830965938258,2.529213198136073,2.4974192820333325,0.6692116505173926,3.4181223039064155
Pulau Morotai,29.84527786727955,-2.261140222981538,2.517026302709745,-0.24283979759563815,37.005524268032,-3.081580672992908,2.2611181268169065,0.0,1.1943643297139075,2.011088583151559,2.0045353202644702,0.69619743308186,2.5660675073385937
Pulau Taliabu,30.36630385699525,-2.7073099417402324,1.6854133811430594,-1.0213759912182672,40.72210468186293,-3.752515349170543,0.0,0.0,1.1362732792331085,1.9430346732409747,1.927618141111758,0.6979318559056079,2.5082042891234186
Seram Bagian Barat,30.719272022198446,-2.964295035994984,0.9970727745820731,-1.3499040359901082,39.474294651944994,-4.045826303880807,0.0,0.0,1.1445460764771747,2.2628628145813017,2.2642335517709697,0.6999858006895634,3.165653107894376
Seram Bagian Timur,31.05181241931052,-3.180739648028425,0.2718943207883248,-1.6141198055011234,33.45341734254796,-4.06018144649542,0.0,0.0,1.1860817189539208,3.1899896924396542,3.187990225346839,0.7232649825341456,4.526158332647837
