kab_kota,tahun,Intercept,X1_Produksi_Perikanan_Tangkap_Laut,X5_Persentase_Penduduk_Miskin,X8_PDRB_per_Kapita_ADHB,X12_Kepadatan_Penduduk,X13a_Jumlah_Pelabuhan_Utama,X13b_Kunjungan_Kapal_Tahunan,X13c_Jarak_ke_Pelabuhan_Induk,X17_TPT,X20_RT_Akses_Sanitasi_Layak,X27_Volume_Wacana_Digital,X9_Pangsa_Pengeluaran_Pangan,local_R2,local_condition_number
Buru,2020,33.211316814248995,1.8845513863393375,-1.712211260147606,-4.925242617090464,2.2187209195559654,0.5345193693756113,-6.179833027973032,1.3598037570938513,1.733811246095703,0.868671902694958,-3.6156634518887407,2.755554052177999,0.668483959206153,9.29722108747101
Buru,2021,33.274433538037805,1.9698912306033571,-1.7071048927059673,-4.674833057476189,1.9047766227751706,0.24707548792501716,-5.566260735835883,1.8049345852921874,2.1682320121268828,1.0745337018314163,-3.8588427056002526,2.4209207436013864,0.6645828617194149,10.473616525891025
Buru,2022,33.644145759660944,2.8011458904948516,-1.332360489057185,-4.38796018608724,0.9987758573144326,-1.122065901211961,-3.675987259584163,3.09837392252514,1.940493904172131,1.0308685088831873,-3.3458094900354944,1.158734795026545,0.6625873214278977,14.818097228451194
Buru,2023,33.06921269494334,3.3525747083762836,-0.9632108875842884,-3.541390683097652,-0.1255661126808169,-2.015191975576259,-1.9236577433635595,3.4833517249533466,-0.19072994826314837,0.7180002293255702,-0.879504280873218,-0.06922675894582508,0.6666651795066338,16.788829425717633
Buru,2024,31.975444248157924,2.309701109851273,-0.801577189623091,-2.565677743035102,-0.30330801411241826,-1.4897055706967506,-1.5426713520500464,2.008920855058009,-1.1483231202912543,0.44884759395139584,0.1398867400538179,0.24307393189195858,0.6527065081144403,13.261916668213606
Buru,2025,31.422434444521144,1.5255696321269367,-0.8385504523176786,-2.325458899096072,-0.1673544968059728,-0.9032843902212706,-1.7167151937351588,1.1835188391483766,-1.0781558128354183,0.45322094373547,-0.03648190195897549,0.3896140772225445,0.6564112043926871,10.99464866146273
Buru Selatan,2020,33.21986940574356,1.9288413737970944,-1.8287302466934903,-5.047273584534042,2.3101104866659083,0.5742593193098703,-6.428553049775593,1.389370569381076,1.8368482054719677,0.9612154942742986,-3.7354928695379424,2.7995835311935733,0.6747925979156357,9.509683885441277
Buru Selatan,2021,33.240632895579346,1.979278509520497,-1.8530312398666018,-4.747225378220143,1.9153388605701245,0.2971175965412074,-5.724906519537318,1.7551660608198911,2.259876992148091,1.1524236501126262,-3.949868845122792,2.4310766049281023,0.6648594330510224,10.495488535294541
Buru Selatan,2022,33.595880202758515,2.693916402632155,-1.7055753903300004,-4.530089445135799,1.1177096907196014,-0.8556149800591801,-4.1255444102844425,2.9407246732535506,2.316915054857062,1.301752866344949,-3.740253903715559,1.2901409942168702,0.6659273615738425,15.552930529752125
Buru Selatan,2023,33.007590141248556,3.343553028509979,-1.3659745656250866,-3.7256359091096085,0.11999459331798273,-1.7366944198609975,-2.4520395181390366,3.4104311281834363,0.09700385281741314,1.0277502094449236,-1.2863623252808558,-0.02292248723352075,0.6674173466807939,17.477804763824324
Buru Selatan,2024,31.961345437260633,2.299948184392547,-0.9947600953628006,-2.6167716108297903,-0.194491869074352,-1.3650265544750815,-1.7674976705105023,1.9742710585140417,-0.9928409674091834,0.5661761645396622,-0.09794682565616863,0.2510581230515647,0.6483842276243368,13.082144161050133
Buru Selatan,2025,31.437583223362928,1.5693799279928697,-0.9166586689473264,-2.338549927484003,-0.16743320766627012,-0.9189706691441164,-1.7688623796205385,1.228988499195514,-1.0770286120788433,0.5143090371938468,-0.04525352158750651,0.37364218068506316,0.6577352981409177,11.206982573708572
Halmahera Barat,2020,34.1606443934569,0.9836645117306726,0.7614974648064061,-4.020527796856585,0.5480833277715792,0.28459987995934,-2.6017554041004916,2.2829151445718745,0.2692704966495464,-0.35022100001724704,-1.9824527173211044,1.284585743669117,0.639949091511087,9.306831286032995
Halmahera Barat,2021,35.26169880117494,1.0164613931277249,2.276422332078081,-3.8005040864592408,-0.528206290226325,-0.35908293585772616,-0.652321750346495,3.883793378706173,-0.5442185799194339,-0.9409709690770653,-0.8261148666533041,-0.03547313789880685,0.6545155359633009,11.809016073820365
Halmahera Barat,2022,35.12759509862676,1.870910019223528,2.8879279507959295,-3.2183472010488727,-0.9483349084081989,-1.857831490532082,0.6396244876539496,4.420145984760528,-1.4919264844617781,-1.4131718024021982,0.34335174208574915,-0.684740267798255,0.6539833318819337,12.458966443959746
Halmahera Barat,2023,34.02985256765421,2.1432337519535074,2.775757225509503,-2.3580059860547116,-1.3232251466195466,-2.831577227670439,1.4063935763961442,3.716281679100503,-2.481925785235373,-1.4717913735043398,2.1069536656563805,-0.1913453545156767,0.6604861840959321,13.25067368691956
Halmahera Barat,2024,33.14348289287182,1.797554001212634,2.5565023313429944,-1.885738955439967,-1.7449790444763211,-2.919174580769857,1.6784097886869773,2.8607498735920665,-3.0655298851327197,-1.3164112816850273,3.2698173721171315,0.376209367354273,0.6815991950334123,14.206647033978694
Halmahera Barat,2025,32.04099232922323,1.1561438269224915,1.4167270016318376,-1.8913341524582938,-1.2934224055477417,-1.8692533649972165,0.527680302224645,1.6526200799092614,-2.3990154904241683,-0.7850612099693447,2.188857703287594,0.5453059745580271,0.6762755796096769,12.640746131047438
Halmahera Selatan,2020,33.58190059237033,1.4833703965531786,-0.46858220496058894,-4.366367019303723,1.6128112994278536,0.3668566834427854,-4.457650403628318,1.6426583447636511,0.9711167452440354,0.21025860650518435,-2.832278426736231,2.2869233045533,0.6537149411934686,8.916623223024022
Halmahera Selatan,2021,33.79074746238215,1.4623652852120168,0.2188474080663636,-3.9521808941763714,0.7187815897460498,-0.09886480524146764,-2.866545147507033,2.3559213927076077,0.7102992780468672,-0.04125176642350974,-2.255469508591518,1.41333369729174,0.6363940580420371,9.742797562465782
