variant,OLS_AICc,OLS_R2,GWR_gate_lolos,GWR_pct_CN_gt_30,X27_koef_OLS,X27_p_OLS
A (X9),153.01892377524098,0.8107171374598473,False,100.0,-0.5161518533435672,0.7753368312500535
B (X10),138.18966600074341,0.9065816875018702,False,100.0,-0.8269292367906587,0.46795154851097004
