bw_k,AICc,R2,tr_S
22,1577.9143774332088,0.9729982121973128,102.40116495137455
24,1223.4966251867654,0.9667662759105111,94.77457987533798
26,1023.2974289200201,0.9497442502667661,85.84228287272975
28,962.3760794817308,0.9445813885367076,82.12718887115021
30,922.7941832735171,0.9406214642929678,79.2556849677604
32,890.1046928437124,0.93410953366182,76.14212451079905
34,861.9468944393564,0.9291952083838461,73.27352713507898
36,838.2435924550588,0.9209656272504168,70.00799879445155
38,825.2913295171857,0.9153498053649849,67.93204827227771
40,810.6157705755282,0.9078475384432607,65.27989439295825
42,796.0933629136013,0.9011104494694712,62.60011927629005
44,788.7060720313273,0.8955874327352851,60.84784963422091
46,778.7479394007783,0.8900226292382157,58.6872408435713
48,769.2020213230021,0.8840298875808699,56.41264708010777
50,763.0140846790689,0.8777162761502595,54.49367212783163
52,758.0866745358305,0.8730734879258825,52.985828033238505
54,754.2966346369687,0.86701299634772,51.40369104246614
56,748.3547512023333,0.8596136114254334,49.20336412681291
58,744.2038383833474,0.8500805321001981,46.92877632176672
60,741.3338482982758,0.8457609985442953,45.69318244346003
62,739.0330468158525,0.8393063664071686,44.212258798685326
64,737.2465257019837,0.8333976655555455,42.91079924519905
66,736.8907645729488,0.8230537144512262,41.21757314728849
68,735.6134872301685,0.8186322445761413,40.25202885187167
70,734.9734960965721,0.8122448746863692,39.1234937085188
72,734.1647239772237,0.80633218122152,38.03118288329991
74,733.15306813804,0.7994650305527202,36.744775000483784
76,732.6220688355511,0.7949041931280821,35.923918646776364
78,732.2140954529877,0.7897394364627583,35.04300943660907
80,731.1869324506306,0.7862455103130208,34.25640785262316
82,730.3613165531021,0.7822623394902926,33.44322007793216
84,730.3024003019414,0.7781250907782259,32.80600164927032
86,729.8282282342651,0.7751094393471996,32.22808858510557
88,729.0315514632072,0.7718305241710085,31.522061449225856
90,728.220999763209,0.7666296530671151,30.52026782782217
92,727.8132559065531,0.7630429077784452,29.869525793258813
94,727.222144237601,0.76014524570551,29.268661495635154
96,726.6014567863247,0.7563316424576014,28.51971396848216
98,726.9027701102374,0.7521932274570502,27.98986385480569
100,727.26146026308,0.7476818098658788,27.426312055326054
102,727.2635223934617,0.7439712949919766,26.879226179002206
104,727.3381969355052,0.7397552294545204,26.281690849702294
106,727.4003483170975,0.7357747063854667,25.71750406848717
108,727.211308728829,0.7331552397484355,25.27640474083646
110,726.799897766832,0.7303909536130322,24.744482058754443
112,727.9398328254175,0.7247468077110644,24.282412883489535
114,729.0859599453138,0.7184832857162338,23.74640317379335
116,729.2028089999349,0.7146716201498988,23.240457828121574
118,730.1184225928821,0.708030394935014,22.597085876819207
120,731.4592256980055,0.6995457186049723,21.851105138543254
122,734.24438428961,0.6863017796112151,20.96569628666037
124,736.176768071367,0.6774353756622862,20.43061329905136
126,739.9222116837489,0.6585578326288433,19.252491824647763
