Provinsi,Kab/Kota,Tahun,Y_PoU,X1_Perikanan,X2_Padi,X4_NTP,X5_PendudukMiskin,X6_GarisKemiskinan,X7_Gini,X8_PDRB,X9_PangsaPangan,X10_PengeluaranPangan,X11_JalanMantap,X12_Kepadatan,X13a_Pelabuhan,X13b_KunjunganKapal,X13c_JarakPelabuhan,X14_TPAK,X15_RLS,X16_NonAK,X17_TPT,X18_TKPertanian,X19_AirMinum,X20_Sanitasi,X21_Stunting,X22_UHH,X23_IPM,X24_Sinyal4G5G,is_variabel_provinsi,flag_definisi_lama_air,X13_IKM,Rasio_Perikanan_per_Kepadatan
Maluku,Maluku Barat Daya,2025,30.73,1943.727,0.0,98.79,27.65,719253,189.0,38.809,58.64,6.755,32.9,19.33,3,1248,704,71.07,9.39,28.93,2.69,36.17,92.83,83.09,23.7,70.11,68.66,93.94,False,0,0.933879887289881,100.55494050698398
Maluku,Maluku Tengah,2020,43.07,155337.0,50374.78,96.77,19.83,503800,303.0,20.642,52.91,4.919,66.58,53.19,3,2692,83,59.79,9.67,40.21,7.93,33.97,93.21,75.06,29.8,70.34,73.2,62.84,False,1,0.971306454159228,2920.4173716864075
Maluku,Maluku Tengah,2021,35.1,187897.0,39819.3,101.14,19.84,515582,269.0,21.35,53.71,5.015,66.58,53.4,3,3206,83,62.59,9.68,37.41,8.07,32.64,93.21,76.77,29.8,70.36,73.27,76.72,False,0,0.981346265297524,3518.6704119850187
Maluku,Maluku Tengah,2022,36.9,157819.0,33435.21,104.85,17.46,542782,277.0,23.154,54.79,608.0,66.58,53.69,3,3719,83,65.87,9.76,34.13,6.76,33.54,92.1,76.47,27.0,70.58,73.73,81.76,False,0,0.9913665437293253,2939.448686906314
Maluku,Maluku Tengah,2023,34.62,152760.205,27777.99,104.41,17.84,589125,261.0,24.68,52.41,6.172,66.58,54.83,3,3950,83,63.26,9.78,36.74,6.75,31.6,92.98,78.17,29.4,70.83,74.34,86.8,False,0,0.99587859892961,2786.0697610797006
Maluku,Maluku Tengah,2024,34.3,116032.338,35730.15,102.34,17.67,614323,255.0,25.983,53.53,629.0,66.58,55.43,3,4161,83,66.05,9.79,35.260000000000005,6.5,31.77,93.32,80.51,27.0,71.01,75.1,91.84,False,0,1.0,2093.3129713151725
Maluku,Maluku Tengah,2025,30.26,116032.338,49520.0,98.79,16.71,643104,255.0,27.364,51.79,7.116,69.74,56.03,3,3665,83,66.22,10.06,33.78,6.93,36.17,92.83,83.09,27.0,71.28,75.87,92.35,False,0,0.9903117775786093,2070.8966268070676
Maluku,Maluku Tenggara,2020,36.42,94908.0,8.33,96.77,22.57,517821,245.0,26.927,48.88,4.535,78.25,117.76,1,1041,555,65.24,9.73,34.76,4.95,33.97,93.21,75.06,21.6,70.08,68.57,47.13,False,1,0.01133104551513488,805.9442934782609
Maluku,Maluku Tenggara,2021,32.05,96332.0,8.28,101.14,22.73,549047,239.0,28.022,50.18,4.659,78.25,118.86,1,1211,555,64.58,9.76,35.42,5.06,32.64,93.21,76.77,21.6,70.14,68.69,50.55,False,0,0.01465160561924055,810.4660945650345
Maluku,Maluku Tenggara,2022,28.78,97101.0,0.0,104.85,21.19,595041,265.0,30.598,50.66,5.175,78.25,120.37,1,1381,555,62.08,9.78,37.92,5.74,33.54,92.1,76.47,26.8,70.43,69.23,58.053333333333335,False,0,0.01797216572334622,806.6877128852703
Maluku,Maluku Tenggara,2023,31.66,97538.315,0.0,104.41,21.79,669140,244.0,32.893,50.73,549.0,78.25,121.12,1,854,555,61.37,9.79,38.63,5.73,31.6,92.98,78.17,34.0,70.71,69.91,65.55666666666667,False,0,0.00767842940061865,805.3031291281374
Maluku,Maluku Tenggara,2024,30.97,80591.653,0.0,102.34,21.22,695738,248.0,34.92,55.12,606.0,78.25,122.35,1,977,555,67.58,9.84,35.84,5.68,31.77,93.32,80.51,28.1,70.93,70.58,73.06,False,0,0.01008095229947157,658.6976134041685
Maluku,Maluku Tenggara,2025,30.99,80591.653,0.0,98.79,21.16,728291,0.26,36.623,50.7,5.602,81.89,123.57,1,921,555,66.95,9.85,33.05,6.01,36.17,92.83,83.09,28.1,71.24,71.16,64.25,False,0,0.008987120735766175,652.1943271020475
Maluku Utara,Pulau Morotai,2020,38.76,20361.0,4765.76,96.52,6.46,276746,254.0,21.26,51.52,4.547,50.55833333333334,28.0,1,1158,200,63.54,7.39,36.46,4.7,33.97,33.0,62.45,35.2,67.18,62.5,71.59,False,1,0.016391343496314142,727.1785714285714
Maluku Utara,Pulau Morotai,2021,28.87,42843.0,3513.7,102.43,6.52,291879,294.0,21.716,50.91,5.449,50.55833333333334,31.0,1,1317,200,67.71,7.4,32.29,6.27,29.04,78.95,71.5,35.2,67.35,62.9,78.41,False,0,0.01949704382897768,1382.032258064516
Maluku Utara,Pulau Morotai,2022,26.8,22309.0,1838.94,106.44,5.42,301712,266.0,22.893,55.09,5.879,50.55833333333334,32.0,1,1412,200,65.93,7.42,34.07,4.35,26.81,90.35,68.56,31.2,67.74,63.8,80.68333333333334,False,0,0.021352650945977904,697.15625
Maluku Utara,Pulau Morotai,2023,30.64,43050.305,2341.77,103.37,5.38,379931,301.0,23.752,56.51,7.117,50.55833333333334,34.0,1,1624,200,64.72,7.55,35.28,4.56,26.5,90.52,68.52,31.2,68.1,64.73,82.95666666666666,False,0,0.025493584722862624,1266.1854411764707
Maluku Utara,Pulau Morotai,2024,30.13,41109.428,3908.91,103.42,5.11,428136,312.0,25.434,58.3,6.435,50.55833333333334,34.0,1,1740,200,66.91,7.73,33.975,4.21,25.62,90.52,68.52,31.2,68.39,65.68,85.23,False,0,0.027759378676252375,1209.1008235294119
Maluku Utara,Pulau Morotai,2025,30.71,41109.428,4406.0,106.05,4.49,494261,312.0,27.112,54.0,6.237,57.46599999999999,35.0,1,1825,200,67.33,7.91,32.67,4.74,24.06,90.52,68.52,31.2,68.39,67.86,84.09,False,0,0.029419658728305202,1174.5550857142857
Maluku Utara,Pulau Taliabu,2020,44.39,24994.0,4682.62,96.52,7.3,401710,248.0,25.592,55.81,4.582,26.716333333333335,36.0,1,463,570,72.65,7.66,27.35,4.75,33.97,39.32,61.94,33.7,62.1,60.48,73.13,False,1,0.0,694.2777777777778
Maluku Utara,Pulau Taliabu,2021,49.84,22025.0,5351.216666666667,102.43,7.49,425241,247.0,29.215,53.82,3.893,26.716333333333335,40.0,1,527,570,69.23,7.67,30.77,6.1,29.04,68.36,65.37,33.7,62.22,60.73,81.25,False,0,0.0012500932156633126,550.625
Maluku Utara,Pulau Taliabu,2022,38.62,23344.0,3385.8544444444447,106.44,6.88,448735,238.0,31.47,59.42,5.041,32.54366666666667,41.0,1,565,570,61.56,7.94,38.44,4.17,26.81,80.4,62.65,23.9,62.53,61.64,84.21333333333334,False,0,0.0019923360624634033,569.3658536585366
Maluku Utara,Pulau Taliabu,2023,39.21,22530.49,4196.7266666666665,103.37,7.31,491203,0.25,32.049,56.73,6.376,26.716333333333335,20.0,1,649,570,63.11,7.97,36.89,3.15,26.5,84.96,65.91,23.9,62.79,62.31,87.17666666666666,False,0,0.0036330834080214956,1126.5245
Maluku Utara,Pulau Taliabu,2024,32.64,21146.674,3595.81,103.42,7.13,525953,261.0,34.281,58.48,6.234,26.716333333333335,21.0,1,696,570,65.6,7.99,35.445,2.86,25.62,84.96,65.91,23.9,63.05,62.9,90.14,False,0,0.004551120613274241,1006.9844761904761
Maluku Utara,Pulau Taliabu,2025,34.19,21146.674,1340.6666666666667,106.05,6.63,574242,261.0,36.586,57.29,0.63,40.791333333333334,21.0,1,730,570,66.0,8.15,34.0,3.4,24.06,84.96,65.91,23.9,63.05,65.61,49.3,False,0,0.005215232634095375,1006.9844761904761
Maluku,Seram Bagian Barat,2020,43.3,30309.0,3075.66,96.77,25.11,419793,296.0,14.324,56.29,4.599,42.73,41.51,1,110,65,71.86,8.87,28.14,5.47,33.97,93.21,75.06,28.7,69.93,69.68,48.84,False,1,0.004931456092991502,730.1614068899061
Maluku,Seram Bagian Barat,2021,39.2,31903.0,4637.86,101.14,25.27,427355,267.0,14.742,51.71,4.455,42.73,41.97,1,81,65,72.2,8.92,27.8,5.65,32.64,93.21,76.77,28.7,70.1,69.9,65.12,False,0,0.004365007604644066,760.1381939480582
Maluku,Seram Bagian Barat,2022,37.77,67631.0,3335.63,104.85,22.25,449297,284.0,15.995,55.87,5.305,42.73,42.6,1,52,65,68.13,9.24,31.87,5.45,33.54,92.1,76.47,27.5,70.51,70.76,72.4,False,0,0.0037985591162966285,1587.5821596244132
Maluku,Seram Bagian Barat,2023,32.7,67732.48,4282.54,104.41,22.39,486747,241.0,17.031,53.18,566.0,42.73,43.47,1,42,65,62.72,9.35,37.28,4.74,31.6,92.98,78.17,31.4,70.88,71.68,79.67999999999999,False,0,0.0036032320513492352,1558.1430871865655
Maluku,Seram Bagian Barat,2024,32.71,57765.059,2929.25,102.34,22.31,508517,252.0,18.037,53.83,5.551,42.73,44.18,1,33,65,69.71,9.59,33.26,4.52,31.77,93.32,80.51,33.8,71.18,72.54,86.96,False,0,0.0034274376928965823,1307.4934133091897
Maluku,Seram Bagian Barat,2025,32.94,57765.059,3795.0,98.79,21.85,554140,235.0,18.857,55.27,5.636,42.73,44.88,1,35,65,70.76,9.6,29.24,4.92,36.17,92.83,83.09,33.8,71.58,72.91,86.96,False,0,0.0034665031058860613,1287.100245098039
Maluku,Seram Bagian Timur,2020,38.31,14160.0,10899.36,96.77,23.04,398430,277.0,21.25,57.86,5.457,29.07,23.87,1,656,333,68.12,8.43,31.88,3.61,33.97,93.21,75.06,41.9,67.23,68.11,27.98,False,1,0.0048531962644423506,593.2132383745287
Maluku,Seram Bagian Timur,2021,35.93,19857.0,11364.52,101.14,23.25,403573,266.0,22.669,53.52,4.461,29.07,24.27,1,707,333,69.07,8.46,30.93,3.88,32.64,93.21,76.77,41.9,67.45,68.29,69.27,False,0,0.005849364295674054,818.1705809641533
Maluku,Seram Bagian Timur,2022,30.54,20033.0,10085.35,104.85,20.73,421902,242.0,25.53,56.2,5.241,29.07,24.82,1,757,333,65.38,8.71,34.62,3.38,33.54,92.1,76.47,24.1,67.91,69.05,78.50333333333333,False,0,0.0068259996204110135,807.1313456889606
Maluku,Seram Bagian Timur,2023,31.79,21561.343,8294.26,104.41,21.08,458176,244.0,24.233,54.42,588.0,29.07,25.06,1,690,333,56.71,8.82,43.29,3.31,31.6,92.98,78.17,27.5,68.33,69.84,87.73666666666666,False,0,0.005517308285263485,860.3887869114127
Maluku,Seram Bagian Timur,2024,33.34,21740.41,7687.05,102.34,21.03,478721,201.0,25.034,56.21,5.548,29.07,25.46,1,634,333,61.01,9.0,40.7,3.24,31.77,93.32,80.51,35.0,68.73,70.28,96.97,False,0,0.00442347672155809,853.9045561665357
Maluku,Seram Bagian Timur,2025,33.63,21740.41,3239.0,98.79,20.9,524878,241.0,25.244,53.75,5.481,79.97,25.86,1,640,333,61.89,9.25,38.11,3.18,36.17,92.83,83.09,35.0,69.19,71.1,97.47,False,0,0.0045406729605265254,840.6964423820573
