Provinsi,Kab/Kota,Tahun,Y_PoU,X1_Perikanan,X2_Padi,X4_NTP,X5_PendudukMiskin,X6_GarisKemiskinan,X7_Gini,X8_PDRB,X9_PangsaPangan,X10_PengeluaranPangan,X11_JalanMantap,X12_Kepadatan,X13a_Pelabuhan,X13b_KunjunganKapal,X13c_JarakPelabuhan,X14_TPAK,X15_RLS,X16_NonAK,X17_TPT,X18_TKPertanian,X19_AirMinum,X20_Sanitasi,X21_Stunting,X22_UHH,X23_IPM,X24_Sinyal4G5G,is_variabel_provinsi,flag_definisi_lama_air,X13_IKM,Rasio_Perikanan_per_Kepadatan
Maluku Utara,Halmahera Selatan,2022,30.67,58399.0,121.88,106.44,4.99,362100,0.24,55.856,57.62,5.842,33.202,31.0,2,2823,245,67.43,8.16,32.57,1.51,26.81,84.08,70.25,31.4,66.22,65.06,59.00333333333334,False,0,0.507534689684437,1883.8387096774193
Maluku Utara,Halmahera Selatan,2023,30.48,60838.665,393.42,103.37,5.68,400768,239.0,69.904,55.96,6.278,33.202,32.0,2,3247,245,73.24,8.17,26.76,2.44,26.5,87.44,74.79,31.4,66.5,65.83,67.58666666666667,False,0,0.5158165572382065,1901.20828125
Maluku Utara,Halmahera Selatan,2024,28.3,56004.72,186.91,103.42,5.63,449334,235.0,83.147,58.55,678.0,33.202,33.0,2,3480,245,74.86,8.42,25.725,2.0,25.62,87.44,74.79,31.4,66.71,66.66,76.17,False,0,0.5203676778514807,1697.1127272727274
Maluku Utara,Halmahera Selatan,2025,26.77,56004.72,271.0,106.05,4.81,512217,235.0,114.37,57.42,7.166,32.168,33.0,2,3650,245,75.31,8.43,24.69,2.55,24.06,87.44,74.79,31.4,66.71,69.05,87.89,False,0,0.5236882379555864,1697.1127272727274
Maluku Utara,Halmahera Tengah,2020,31.64,23006.0,692.6,96.52,13.56,466973,328.0,58.226,50.39,6.132,67.64733333333332,22.0,1,463,180,68.77,9.0,31.23,6.74,33.97,26.79,72.4,30.0,63.91,65.42,27.45,False,1,0.003298149754244589,1045.7272727272727
Maluku Utara,Halmahera Tengah,2021,27.03,37295.0,1502.82,102.43,13.52,491657,265.0,166.922,49.34,5.556,64.37066666666666,22.0,1,527,180,63.02,9.01,36.98,4.23,29.04,83.71,80.7,30.0,64.15,65.82,56.14,False,0,0.004548242969907903,1695.2272727272727
Maluku Utara,Halmahera Tengah,2022,25.51,39757.0,103.47,106.44,12.0,507555,286.0,359.993,48.53,5.782,60.20733333333333,22.0,1,565,180,70.81,9.02,29.19,3.06,26.81,67.59,81.93,32.2,64.61,66.49,68.44666666666667,False,0,0.005290485816707994,1807.1363636363637
Maluku Utara,Halmahera Tengah,2023,15.3,37997.848,665.28,103.37,11.44,552350,301.0,479.057,46.63,8.536,60.20733333333334,27.0,1,649,180,70.77,9.19,29.23,3.95,26.5,85.71,80.45,32.2,65.06,67.48,80.75333333333333,False,0,0.006931233162266088,1407.3277037037037
Maluku Utara,Halmahera Tengah,2024,19.43,35930.18,1312.52,103.42,10.71,593903,316.0,532.124,45.65,9.392,31.667333333333332,27.0,1,696,180,71.09,9.2,28.845,3.43,25.62,85.71,80.45,32.2,65.35,68.45,93.06,False,0,0.00784927036751883,1330.7474074074073
Maluku Utara,Halmahera Tengah,2025,19.03,35930.18,1362.0,106.05,9.16,647982,316.0,870.96,49.02,981.0,54.94133333333334,28.0,1,730,180,71.54,9.21,28.46,3.96,24.06,85.71,80.45,32.2,65.35,71.57,94.44,False,0,0.008513382388339968,1283.2207142857144
Maluku Utara,Halmahera Timur,2020,39.89,24231.0,25811.28,96.52,15.45,569464,296.0,38.744,52.54,5.187,72.367,15.0,1,926,210,66.18,8.26,33.82,5.21,33.97,18.53,70.86,28.3,68.88,66.75,46.81,False,1,0.011653168187345696,1615.4
Maluku Utara,Halmahera Timur,2021,33.37,23627.0,11590.5,102.43,15.04,600339,258.0,42.187,53.73,5.518,72.367,14.0,1,1053,210,64.8,8.27,35.2,6.78,29.04,65.51,70.1,28.3,69.08,67.0,60.78,False,0,0.014133821912177574,1687.642857142857
Maluku Utara,Halmahera Timur,2022,31.48,27504.0,15285.65,106.44,13.14,624983,247.0,44.192,54.02,5.893,72.367,14.0,1,1129,210,68.08,8.52,31.92,5.2,26.81,69.95,79.79,32.3,69.5,67.93,65.84,False,0,0.015618307605777756,1964.5714285714287
Maluku Utara,Halmahera Timur,2023,32.27,23929.156,18609.02,103.37,12.47,631233,0.3,54.984,52.06,6.395,66.427,15.0,1,1299,210,70.55,8.66,29.45,4.66,26.5,66.47,81.64,32.3,69.9,68.82,70.89999999999999,False,0,0.018938867709883424,1595.2770666666665
Maluku Utara,Halmahera Timur,2024,29.13,22611.449,17555.22,103.42,11.91,655936,295.0,55.568,51.63,8.045,49.093333333333334,15.0,1,1392,210,69.68,8.88,29.645,4.32,25.62,66.47,81.64,32.3,70.04,69.58,75.96,False,0,0.02075540941389417,1507.4299333333333
Maluku Utara,Halmahera Timur,2025,27.76,22611.449,11653.0,106.05,10.54,705734,295.0,83.278,52.98,835.0,47.59,15.0,1,1460,210,70.16,9.07,29.84,4.85,24.06,66.47,81.64,32.3,70.04,71.11,75.96,False,0,0.022083633455536444,1507.4299333333333
Maluku Utara,Halmahera Utara,2020,38.21,32021.0,8739.81,96.52,4.45,248544,283.0,28.864,51.11,4.851,51.33,51.0,1,3474,130,61.98,8.51,38.02,6.49,33.97,42.6,70.25,29.1,69.56,67.5,50.84,False,1,0.06396511851672827,627.8627450980392
Maluku Utara,Halmahera Utara,2021,29.93,38105.0,9073.06,102.43,5.22,263507,274.0,30.033,51.65,5.413,51.33,51.0,1,3950,130,64.39,8.62,35.61,8.01,29.04,87.09,68.99,29.1,69.61,67.82,53.23,False,0,0.07326268680822412,747.156862745098
