Tahun,Kab_Kota,Provinsi,Y_PoU,Local_I,p_value,Kuadran,Signifikan,Klaster_LISA
2023,Kepulauan Tanimbar (Maluku Tenggara Barat),Maluku,34.05,0.0139,0.473,High-High,False,Tidak Signifikan
2023,Maluku Tenggara,Maluku,31.66,0.0133,0.423,High-High,False,Tidak Signifikan
2023,Maluku Tengah,Maluku,34.62,-0.1415,0.309,High-Low,False,Tidak Signifikan
2023,Buru,Maluku,28.23,-0.2467,0.104,Low-High,False,Tidak Signifikan
2023,Kepulauan Aru,Maluku,31.68,0.0136,0.42,High-High,False,Tidak Signifikan
2023,Seram Bagian Barat,Maluku,32.7,0.022,0.446,High-High,False,Tidak Signifikan
2023,Seram Bagian Timur,Maluku,31.79,-0.0143,0.406,High-Low,False,Tidak Signifikan
2023,Maluku Barat Daya,Maluku,26.59,-0.0393,0.497,Low-High,False,Tidak Signifikan
2023,Buru Selatan,Maluku,38.87,0.2574,0.283,High-High,False,Tidak Signifikan
2023,Kota Ambon,Maluku,24.12,-0.41,0.213,Low-High,False,Tidak Signifikan
2023,Kota Tual,Maluku,29.31,-0.0497,0.349,Low-High,False,Tidak Signifikan
2023,Halmahera Barat,Maluku Utara,37.41,-0.5654,0.126,High-Low,False,Tidak Signifikan
2023,Halmahera Tengah,Maluku Utara,15.3,1.4232,0.03,Low-Low,True,Low-Low
2023,Kepulauan Sula,Maluku Utara,44.37,0.9911,0.061,High-High,False,Tidak Signifikan
2023,Halmahera Selatan,Maluku Utara,30.48,0.0761,0.003,Low-Low,True,Low-Low
2023,Halmahera Utara,Maluku Utara,31.22,-0.0094,0.307,High-Low,False,Tidak Signifikan
2023,Halmahera Timur,Maluku Utara,32.27,-0.0691,0.237,High-Low,False,Tidak Signifikan
2023,Pulau Morotai,Maluku Utara,30.64,0.0074,0.324,Low-Low,False,Tidak Signifikan
2023,Pulau Taliabu,Maluku Utara,39.21,0.8511,0.057,High-High,False,Tidak Signifikan
2023,Kota Ternate,Maluku Utara,17.86,0.947,0.09,Low-Low,False,Tidak Signifikan
2023,Kota Tidore Kepulauan,Maluku Utara,26.77,0.5245,0.034,Low-Low,True,Low-Low
2024,Kepulauan Tanimbar (Maluku Tenggara Barat),Maluku,35.83,0.2876,0.292,High-High,False,Tidak Signifikan
2024,Maluku Tenggara,Maluku,30.97,0.0583,0.119,High-High,False,Tidak Signifikan
2024,Maluku Tengah,Maluku,34.3,0.2463,0.272,High-High,False,Tidak Signifikan
2024,Buru,Maluku,32.66,0.2089,0.21,High-High,False,Tidak Signifikan
2024,Kepulauan Aru,Maluku,33.39,0.2625,0.21,High-High,False,Tidak Signifikan
