frasa,frekuensi
anak anak,10
terima kasih,10
orang tua,9
luar biasa,9
maluku utara,7
semoga segera,7
lebih baik,7
ketahanan pangan,6
pangan lokal,6
makanan bergizi,6
mudahan diberikan,6
orang orang,5
salah satu,5
makan bergizi,5
bergizi gratis,5
