Topic,Words,Frequency,Timestamp,Name
18,"hut lalu, pemberian bansos, rangka memperingati, tahun polres, bhayangkara tahun",1,2021-08-02 06:21:59.400,Kegiatan Gizi di Maluku Tengah
20,"keras dukungan, mimika, mimika nimaowitimi, menarik butuh, lahan sagu",1,2021-08-02 06:21:59.400,Ketahanan Pangan oleh TNI
29,"utara memberikan, berkurang kondisi, memungkinkan melaut, memungkinkan, melaut",2,2021-08-02 06:21:59.400,Stunting di Maluku Utara
38,"barang kering, beras sama, apa yaa, kering beras, yaa bang",1,2021-08-02 06:21:59.400,Komentar Umum
44,"dilakukan dekade, proyek pernah, dekade, dekade lalu, pernah dilakukan",1,2021-08-02 06:21:59.400,Food Estate dan Ketahanan Pangan
6,"beras mau, lah beras, buang lah, jangan buang, mau makan",1,2021-11-11 06:00:46.100,Diskusi Umum tentang MBG
7,"orang, orang susah, susah, orang orang, cobaan kepadamu",2,2021-11-11 06:00:46.100,Kemiskinan dan Kerawanan Pangan
10,"hutan, pangan sebenarnya, makanan hilang, rumah hutan, selamatkan hutan",1,2021-11-11 06:00:46.100,Kelaparan dan Kehidupan Masyarakat Adat
11,"allah, dibuang, tar kena, dibuang blom, ngerasain laknat",2,2021-11-11 06:00:46.100,Doa dan Harapan Masyarakat
12,"beras, kmu makan, kebeli, kebeli beras, kecewa beradap",4,2021-11-11 06:00:46.100,Impor Beras Nasional
19,"aku, kalian, berasnya karung, bln klrg, sini buat",2,2021-11-11 06:00:46.100,Pengalaman Pribadi
20,"satgas kodim, kodim maluku, kodim, satgas, ketahanan",3,2021-11-11 06:00:46.100,Ketahanan Pangan oleh TNI
22,"ikan, potong, potong ikan, motong ikan, tajam",6,2021-11-11 06:00:46.100,Potensi Perikanan Maluku
24,"pelayanan terbaik, memberikan pelayanan, semoga polres, haltim, terbaik",2,2021-11-11 06:00:46.100,Ucapan Doa dan Motivasi
26,"stunting, berstatus, komponen cegah, perjuangan dprd, penduduknya",2,2021-11-11 06:00:46.100,Program Penurunan Stunting
31,"tau rasa, main ntar, kelaparan baru, sombongnya bukan, ntar kelaparan",1,2021-11-11 06:00:46.100,Komentar Isu Pemerintahan
33,"galela kao, kao memberikan, kao, galela, panti",1,2021-11-11 06:00:46.100,Pemerintah Provinsi Maluku Utara
35,"suka konsumsi, konsumsi pangan, pangan lokal, lokal, konsumsi",2,2021-11-11 06:00:46.100,Pangan Lokal Maluku
38,"sia siakan, orang makan, siakan, yaaloh orang, yaaloh",1,2021-11-11 06:00:46.100,Komentar Umum
44,"their, forests, food, logging, their food",1,2021-11-11 06:00:46.100,Food Estate dan Ketahanan Pangan
51,"buang, buang beras, beras, buang buang, beras buang",11,2021-11-11 06:00:46.100,Pemborosan Makanan MBG
55,"mantap, potong ikannya, ikannya, potong, keren",3,2021-11-11 06:00:46.100,Apresiasi Menu Ikan
73,"gizi buruk, kasus gizi, buruk, gizi, tren membaik",2,2021-11-11 06:00:46.100,Gizi dan Kantin Sehat
85,"utk, utk beli, utk dpt, utk bertahan, sebutir beras",2,2021-11-11 06:00:46.100,Keluhan Ketersediaan Produk
-1,"perikanan daerah, ketua dpd, bergandengan tangan, perjuangan provinsi, kasih gpr",2,2022-02-20 05:39:32.800,-1_maluku_provinsi maluku_provinsi_bahan
0,"tolak, tolak kenaikan, mahasiswa, kenaikan, dob",2,2022-02-20 05:39:32.800,Kenaikan Harga Beras dan Pangan
9,"bansos korban, bintara spn, spn beri, korban konflik, haruku",1,2022-02-20 05:39:32.800,Bantuan Sosial Presiden
11,"amal, sia, act, amal wlw, mengharap",1,2022-02-20 05:39:32.800,Doa dan Harapan Masyarakat
20,"yonarhanud, maluku yonarhanud, yonarhanud wby, wby, anggota satgas",2,2022-02-20 05:39:32.800,Ketahanan Pangan oleh TNI
22,"ikan, alhamdulilah banyak, telur bakalan, makan telur, mantaps gpr",2,2022-02-20 05:39:32.800,Potensi Perikanan Maluku
26,"stunting, bkkbn, satgas stunting, stunting selengkapnya, stunting pemkot",2,2022-02-20 05:39:32.800,Program Penurunan Stunting
29,"utk pertumbuhan, kegiatan pembagian, sejalan, ikan sehat, ikan memiliki",1,2022-02-20 05:39:32.800,Stunting di Maluku Utara
35,"pangan lokal, lokal, artinya merawat, baik tuk, tuk pangan",1,2022-02-20 05:39:32.800,Pangan Lokal Maluku
44,"duh, duh food, estate maluku, papua dibangun, dibangun",1,2022-02-20 05:39:32.800,Food Estate dan Ketahanan Pangan
-1,"penanaman, tanimbar, kepulauan tanimbar, barat ntt, tiongkok",8,2022-06-01 05:18:19.500,-1_maluku_provinsi maluku_provinsi_bahan
0,"pedagang besar, bbm harga, sembako diberikan, pasar modern, utara menyiapkan",2,2022-06-01 05:18:19.500,Kenaikan Harga Beras dan Pangan
2,"bptp, bptp maluku, dinas ketahanan, pangan provinsi, dinas",1,2022-06-01 05:18:19.500,Ketahanan Pangan Provinsi Maluku
9,"penerima manfaat, menyerahkan, penerima, manfaat, pasar olilit",4,2022-06-01 05:18:19.500,Bantuan Sosial Presiden
19,"aku, beras rumahan, sekarang mulai, budayan rumah, setahun sekarang",1,2022-06-01 05:18:19.500,Pengalaman Pribadi
20,"ketahanan, ketahanan pangan, resilience, ketangguhan, endurance",4,2022-06-01 05:18:19.500,Ketahanan Pangan oleh TNI
26,"stunting, penurunan stunting, penurunan, pemda, angka penurunan",5,2022-06-01 05:18:19.500,Program Penurunan Stunting
28,"bhayangkara polda, salurkan paket, paket bansos, maluku salurkan, jelang hut",1,2022-06-01 05:18:19.500,Gerakan Pangan Murah
29,"stunting, intervensi, maluku utara, utara, stunting maluku",7,2022-06-01 05:18:19.500,Stunting di Maluku Utara
33,"telaga, biru, maluku utara, utara, tepatnya maluku",2,2022-06-01 05:18:19.500,Pemerintah Provinsi Maluku Utara
35,"tni, terhindar krisis, tni smoga, tni pangan, terkomunikasikan",3,2022-06-01 05:18:19.500,Pangan Lokal Maluku
41,"daera mana, meliliki, potensi ikan, ikan terbesar, mana meliliki",1,2022-06-01 05:18:19.500,Pertanyaan Lokasi dan Distribusi Beras
44,"gmn kabar, kabar food, laah gmn, laah, kabar",1,2022-06-01 05:18:19.500,Food Estate dan Ketahanan Pangan
57,"act, donasi, pihak act, teman, pihak",1,2022-06-01 05:18:19.500,Kepala Daerah dan Kebijakan
63,"utara laksanakan, gnpip maluku, kodim ternate, ternate bersama, tim gerakan",1,2022-06-01 05:18:19.500,Pengendalian Inflasi Pangan
73,"gizi, provinsi gizi, utk tingkatkan, terburuk, kedua dki",2,2022-06-01 05:18:19.500,Gizi dan Kantin Sehat
76,"bendungan, air, pembangunan bendungan, pembangunan, air pangan",7,2022-06-01 05:18:19.500,Pembangunan Bendungan
83,"bansos hingga, tanimbar maluku, hingga tinjau, tinjau optimalisasi, spam kepulauan",1,2022-06-01 05:18:19.500,Kunjungan Presiden ke Maluku
86,"act, liat, berkontribusi, suka menjajah, tetangga kelaparan",1,2022-06-01 05:18:19.500,Komentar Sidak Program MBG
-1,"kerja provinsi, melakukan kunjungan, presiden, infrastruktur serahkan, kunjungan",9,2022-09-10 04:57:06.200,-1_maluku_provinsi maluku_provinsi_bahan
0,"harga, rata, harga bbm, per hari, tinggi rata",5,2022-09-10 04:57:06.200,Kenaikan Harga Beras dan Pangan
2,"pangan, provinsi maluku, provinsi, kabupaten aru, pendampingan program",3,2022-09-10 04:57:06.200,Ketahanan Pangan Provinsi Maluku
5,"pak, pak pol, diam, pol, btw pak",2,2022-09-10 04:57:06.200,Dukungan kepada Pemerintah Daerah
7,"orang, karna, trjadi, punya uang, orang mati",3,2022-09-10 04:57:06.200,Kemiskinan dan Kerawanan Pangan
9,"penerima manfaat, iriana, manfaat, penerima, ibu iriana",20,2022-09-10 04:57:06.200,Bantuan Sosial Presiden
10,"meninggal, kelaparan, keluarga, akal, masuk akal",8,2022-09-10 04:57:06.200,Kelaparan dan Kehidupan Masyarakat Adat
20,"gelar rakor, jaga ketahanan, panen bersama, maluku jaga, maluku satgas",2,2022-09-10 04:57:06.200,Ketahanan Pangan oleh TNI
26,"stunting, here more, indonesia has, has created, aims",2,2022-09-10 04:57:06.200,Program Penurunan Stunting
27,"maju dana, percepatan jangan, bakal cepat, ketimbang nasi, alamat indonesia",1,2022-09-10 04:57:06.200,Komentar Porsi dan Menu Makanan
29,"tidore, mengangkasa arena, raksasa berisi, mengangkasa, tidore atas",1,2022-09-10 04:57:06.200,Stunting di Maluku Utara
33,"utara menyerahkan, sejumlah bansos, menyerahkan sejumlah, kunjungan jokowi, jokowi maluku",1,2022-09-10 04:57:06.200,Pemerintah Provinsi Maluku Utara
36,"subsidi bbm, pengalihan subsidi, bansos tepat, dukung pengalihan, maluku dukung",1,2022-09-10 04:57:06.200,Ketepatan Sasaran Program
43,"jangan, naik harga, kasihan, harga mulu, makan jokowi",1,2022-09-10 04:57:06.200,Pengawasan Program Pemerintah
44,"food estate, estate, food, tanah, antroposin tehnologi",1,2022-09-10 04:57:06.200,Food Estate dan Ketahanan Pangan
45,"bagikan bansos, maluku tenggara, bagikan, langgur maluku, bansos pasar",21,2022-09-10 04:57:06.200,Distribusi Bansos Maluku Tenggara
54,"lah ngasih, kelaparan siapa, tau mati, ngasih tau, ngasih",1,2022-09-10 04:57:06.200,Kritik Penanganan Masalah MBG
58,"tinjau, infrastruktur, serahkan bansos, tinjau proyek, serahkan",15,2022-09-10 04:57:06.200,Kunjungan Presiden dan Infrastruktur
