frasa,frekuensi
harga beras,21
beras mahal,15
timor leste,15
maluku utara,14
lebih baik,11
beli beras,11
maluku papua,9
swasembada pangan,9
pak prabowo,9
program mbg,8
presiden jokowi,8
tepat sasaran,8
beras murah,7
orang orang,7
tiap hari,7
